x,orig,origS,noisy,TV,TV2,TV1a2,TV1R
0,-2.35619449019234,-2.35619449019234,-2.47649032636554,-2.07703670595234,-2.34909785819422,-2.2686347016824,-2.07703670595234
0.00200400801603206,-2.28094797075664,-2.28094797075664,-2.22128941797778,-2.07660989469714,-2.29062148753302,-2.22368739471343,-2.07660989469714
0.00400801603206413,-2.20630705711117,-2.20630705711117,-2.2833398410291,-2.07660989469714,-2.23247262998189,-2.17848121329013,-2.07660989469714
0.00601202404809619,-2.13227174925592,-2.13227174925592,-1.93201587289374,-2.03791456042755,-2.17516367912002,-2.13317043393163,-2.03791456042755
0.00801603206412826,-2.05884204719089,-2.05884204719089,-1.85764203600437,-2.03791456042755,-2.11785472825816,-2.08785965457312,-2.03791456042755
0.0100200400801603,-1.9860179509161,-1.9860179509161,-2.25926469984974,-2.03686962136419,-2.06073113330554,-2.04134228682935,-2.03686962136419
0.0120240480961924,-1.91379946043153,-1.91379946043153,-2.10064599866289,-2.03686962136419,-2.0018217193659,-1.99264059227552,-2.03686962136419
0.0140280561122244,-1.84218657573719,-1.84218657573719,-2.00698935504563,-2.00698883438545,-1.94291230542626,-1.94393889772169,-2.00698883438545
0.0160320641282565,-1.77117929683308,-1.77117929683308,-1.85339103322622,-1.93120346182632,-1.88116536178319,-1.88576684141783,-1.93120346182632
0.0180360721442886,-1.70077762371919,-1.70077762371919,-2.00783823863049,-1.93002565903193,-1.81754355585958,-1.82579179859865,-1.93002565903193
0.0200400801603206,-1.63098155639553,-1.63098155639553,-1.59017050502291,-1.67846825541461,-1.75392174993597,-1.76126904107751,-1.67846825541461
0.0220440881763527,-1.56179109486209,-1.56179109486209,-1.6593646870927,-1.67737358598425,-1.68711017572939,-1.69360449455489,-1.67737358598425
0.0240480961923848,-1.49320623911889,-1.49320623911889,-1.69266586291679,-1.67737358598425,-1.61871808451025,-1.62455190742118,-1.67737358598425
0.0260521042084168,-1.42522698916591,-1.42522698916591,-1.76729328573016,-1.67627891655389,-1.55032599329111,-1.55549932028747,-1.67627891655389
0.0280561122244489,-1.35785334500316,-1.35785334500316,-1.43961811391216,-1.55920937281821,-1.47912927935972,-1.48394395830423,-1.55920937281821
0.030060120240481,-1.29108530663063,-1.29108530663063,-1.67762288142685,-1.55803157002381,-1.40779636268636,-1.41241075259361,-1.55803157002381
